201	2
301	3
401	4
202	5
302	6
402	7
203	8
303	9
403	10
204	11
304	12
404	13
205	14
305	15
405	16
206	17
306	18
406	19
207	20
307	21
407	22
208	23
308	24
408	25
209	26
309	27
409	28
210	29
310	30
410	31
211	32
311	33
411	34
212	35
312	36
412	37
213	38
313	39
413	40
221	41
321	42
421	43
222	44
322	45
422	46
223	47
323	48
423	49
224	50
324	51
424	52
225	53
325	54
425	55
226	56
326	57
426	58
227	59
327	60
427	61
231	62
331	63
431	64
232	65
332	66
432	67
233	68
333	69
433	70
234	71
334	72
434	73
235	74
335	75
435	76
236	77
336	78
436	79
237	80
337	81
437	82
238	83
338	84
438	85
241	86
341	87
441	88
242	89
342	90
442	91
243	92
343	93
443	94
244	95
344	96
444	97
245	98
345	99
445	100
246	101
346	102
446	103
247	104
347	105
447	106
248	107
348	108
448	109
251	110
351	111
451	112
252	113
352	114
452	115
253	116
353	117
453	118
254	119
354	120
454	121
255	122
355	123
455	124
256	125
356	126
456	127
257	128
357	129
457	130
258	131
358	132
458	133
259	134
359	135
459	136
261	137
361	138
461	139
262	140
362	141
462	142
263	143
363	144
463	145
264	146
364	147
464	148
265	149
365	150
465	151
266	152
366	153
466	154
267	155
367	156
467	157
271	164
371	165
471	166
272	167
372	168
472	169
273	170
373	171
473	172
274	173
374	174
474	175
275	176
375	177
475	178
276	179
376	180
476	181
281	182
381	183
481	184
282	185
382	186
482	187
283	188
383	189
483	190
284	191
384	192
484	193
285	194
385	195
485	196
286	197
386	198
486	199
287	200
387	201
487	202
288	203
388	204
488	205
291	206
391	207
491	208
292	209
392	210
492	211
293	212
393	213
493	214
294	215
394	216
494	217
295	218
395	219
495	220
296	221
396	222
496	223
297	224
397	225
497	226
298	227
398	228
498	229
1	230
51	231
101	232
2	233
52	234
102	235
3	236
53	237
103	238
4	239
54	240
104	241
5	242
55	243
105	244
6	245
56	246
106	247
7	248
57	249
107	250
8	251
58	252
108	253
